PrimaryDI|deviceRecordStatus|devicePublishDate|deviceCommDistributionEndDate|deviceCommDistributionStatus|brandName|versionModelNumber|catalogNumber|companyName|deviceCount|deviceDescription|DMExempt|premarketExempt|deviceHCTP|deviceKit|deviceCombinationProduct|singleUse|lotBatch|serialNumber|manufacturingDate|expirationDate|donationIdNumber|labeledContainsNRL|labeledNoNRL|MRISafetyStatus|rx|otc|deviceSterile|sterilizationPriorToUse
89bab6a5-f7b3-4c67-ac49-2a46114b9b14|Published|2014-09-17||In Commercial Distribution|MENTOR Smooth Round Moderate Profile|3501655|3501655|MENTOR TEXAS L.P.|1|Saline Breast Implant with Diaphragm Valve, 350cc||||true||true|true|true||true||||Labeling does not contain MRI Safety Information|true||true|
58a2ab9a-e01b-4bce-9ef9-e4c5ffacf0df|Published|2014-09-17||In Commercial Distribution|MENTOR Smooth Round Moderate Profile|3501650|3501650|MENTOR TEXAS L.P.|1|Saline Breast Implant with Diaphragm Valve, 325cc||||true||true|true|true||true||||Labeling does not contain MRI Safety Information|true||true|
d9ed7815-f919-419d-a269-47ca9f45268c|Published|2014-09-17||In Commercial Distribution|MENTOR Smooth Round Moderate Profile|3501620|3501620|MENTOR TEXAS L.P.|1|Saline Breast Implant with Diaphragm Valve, 175cc||||true||true|true|true||true||||Labeling does not contain MRI Safety Information|true||true|
42f2dfab-169a-4611-9a1b-62fe48356dd5|Published|2014-09-17||In Commercial Distribution|MENTOR Smooth Round Moderate Profile|3501610|3501610|MENTOR TEXAS L.P.|1|Saline Breast Implant with Diaphragm Valve, 125cc||||true||true|true|true||true||||Labeling does not contain MRI Safety Information|true||true|
53b68134-589b-443e-87b2-2fae511c5117|Published|2014-09-17||In Commercial Distribution|NATRELLE Saline-Filled Breast Implants|468-270|468-270|Allergan, Inc.|1|NATRELLE 468-270 Saline BIOCELL Shp Full||||true||true||true||true|||true|MR Safe|true||true|
f393e95a-44de-44f1-9bfe-3f786dadb6da|Published|2014-09-17||In Commercial Distribution|NATRELLE Saline-Filled Breast Implants|468-230|468-230|Allergan, Inc.|1|NATRELLE 468-230 Saline BIOCELL Shp Full||||true||true||true||true|||true|MR Safe|true||true|
94a7fd79-13ea-4a0a-9a3f-c849b1eb2f3b|Published|2014-09-17||In Commercial Distribution|NATRELLE Saline-Filled Breast Implants|363LF-510|363LF-510|Allergan, Inc.|1|NATRELLE 363LF-510 Sal BIOCELL Shp Full||||true||true||true||true|||true|MR Safe|true||true|
97bc82c2-a2b9-430d-a94e-f27021a8c9c7|Published|2014-09-17||In Commercial Distribution|NATRELLE Saline-Filled Breast Implants|363LF-230|363LF-230|Allergan, Inc.|1|NATRELLE 363LF-230 Sal BIOCELL Shp Full||||true||true||true||true|||true|MR Safe|true||true|
6f5a66e9-3de6-4ce7-bf3b-889a1d14e0e6|Published|2014-09-17||In Commercial Distribution|NATRELLE Saline-Filled Breast Implants|168-750|168-750|Allergan, Inc.|1|NATRELLE 168-750 Saline BIOCELL Rnd Mod||||true||true||true||true|||true|MR Safe|true||true|
aa62cdf2-986c-4cc7-8e66-76502870eb63|Published|2014-09-17||In Commercial Distribution|NATRELLE Saline-Filled Breast Implants|168-150|168-150|Allergan, Inc.|1|NATRELLE 168-150 Saline BIOCELL Rnd Mod||||true||true||true||true|||true|MR Safe|true||true|
459d5299-a14d-47f7-9951-847d4fbd83f5|Published|2014-09-17||In Commercial Distribution|NATRELLE Saline-Filled Breast Implants|163-530|163-530|Allergan, Inc.|1|STYLE 163, 530CC IMPLANT||||true||true||true||true|||true|MR Safe|true||true|
4ed6f8aa-8c58-44b3-ac3b-08fb0f665cca|Published|2014-09-17||In Commercial Distribution|NATRELLE Saline-Filled Breast Implants|163-440|163-440|Allergan, Inc.|1|STYLE 163, 440CC IMPLANT||||true||true||true||true|||true|MR Safe|true||true|
ded01b82-260a-467f-a332-c9405d709fd2|Published|2014-09-17||In Commercial Distribution|NATRELLE Saline-Filled Breast Implants|68LP-680|68LP-680|Allergan, Inc.|1|NATRELLE Style 68LP-680 Saline Round Low||||true||true||true||true|||true|MR Safe|true||true|
360586b3-327c-42a1-a73a-055f4d2ae37c|Published|2014-09-17||In Commercial Distribution|NATRELLE Saline-Filled Breast Implants|68LP-480|68LP-480|Allergan, Inc.|1|NATRELLE Style 68LP-480 Saline Round Low||||true||true||true||true|||true|MR Safe|true||true|
f85a2054-3ffd-4128-9484-e524d91b9489|Published|2014-09-17||In Commercial Distribution|NATRELLE Saline-Filled Breast Implants|68LP-440|68LP-440|Allergan, Inc.|1|NATRELLE Style 68LP-440 Saline Round Low||||true||true||true||true|||true|MR Safe|true||true|
b512b950-23d3-40eb-9caf-bf2246357c36|Published|2014-09-17||In Commercial Distribution|NATRELLE Saline-Filled Breast Implants|68LP-150|68LP-150|Allergan, Inc.|1|NATRELLE Style 68LP-150 Saline Round Low||||true||true||true||true|||true|MR Safe|true||true|
f1be1dbd-08b1-4dae-843c-02a3b424aa06|Published|2014-09-17||In Commercial Distribution|NATRELLE Saline-Filled Breast Implants|68HP-750|68HP-750|Allergan, Inc.|1|NATRELLE Sty 68HP-750 Saline Round High||||true||true||true||true|||true|MR Safe|true||true|
e45a3084-899e-4d25-a822-2a2925016400|Published|2014-09-17||In Commercial Distribution|NATRELLE Saline-Filled Breast Implants|68HP-550|68HP-550|Allergan, Inc.|1|NATRELLE Sty 68HP-550 Saline Round High||||true||true||true||true|||true|MR Safe|true||true|
20a7de13-623a-47cc-a0a0-adf7e27b2297|Published|2014-09-17||In Commercial Distribution|NATRELLE Saline-Filled Breast Implants|68HP-200|68HP-200|Allergan, Inc.|1|NATRELLE Sty 68HP-200 Saline Round High||||true||true||true||true|||true|MR Safe|true||true|
cb4b64b5-00bf-4f8a-af4a-a8b4c9295a5f|Published|2014-09-17||In Commercial Distribution|NATRELLE Saline-Filled Breast Implants|68-510|68-510|Allergan, Inc.|1|NATRELLE Style 68MP-510 Saline Round Mod||||true||true||true||true|||true|MR Safe|true||true|
67e029eb-3fab-424b-b3c1-3cd34f8e17c6|Published|2014-09-17||In Commercial Distribution|NATRELLE Saline-Filled Breast Implants|68-390|68-390|Allergan, Inc.|1|NATRELLE Style 68MP-390 Saline Round Mod||||true||true||true||true|||true|MR Safe|true||true|
f306a976-bc7c-40b1-ab52-68f2bd1311bb|Published|2015-09-09||In Commercial Distribution|IDEAL IMPLANT|33501|335|IDEAL IMPLANT INCORPORATED|1|Round, smooth-surface, saline-filled breast implant.||||||true||true||true||||Labeling does not contain MRI Safety Information|true||true|
c4d45b12-1a0f-4dc0-a73a-661ee9c7c4a2|Published|2015-09-09||In Commercial Distribution|IDEAL IMPLANT|30001|300|IDEAL IMPLANT INCORPORATED|1|Round, smooth-surface, saline-filled breast implant.||||||true||true||true||||Labeling does not contain MRI Safety Information|true||true|
9e659433-a608-4992-b059-09b408f7c36b|Published|2014-09-17||In Commercial Distribution|MENTOR SILTEX Round SPECTRUM|3542480M|3542480M|MENTOR TEXAS L.P.|1|Post-Operatively Adjustable Saline Breast Implant, 475cc||||true||true|true|true||true||||Labeling does not contain MRI Safety Information|true||true|
235d1d77-0567-4643-accf-f483bd6e2d09|Published|2014-09-17||In Commercial Distribution|MENTOR SILTEX Round SPECTRUM|3542450M|3542450M|MENTOR TEXAS L.P.|1|Post-Operatively Adjustable Saline Breast Implant, 325cc||||true||true|true|true||true||||Labeling does not contain MRI Safety Information|true||true|
e30aad06-16b1-441a-bf43-c9df8f6388ab|Published|2014-09-17||In Commercial Distribution|MENTOR SILTEX Round SPECTRUM|3542430M|3542430M|MENTOR TEXAS L.P.|1|Post-Operatively Adjustable Saline Breast Implant, 225cc||||true||true|true|true||true||||Labeling does not contain MRI Safety Information|true||true|
d822cf87-d299-487c-9517-bdf8e1f77ebf|Published|2014-09-17||In Commercial Distribution|MENTOR Smooth Round SPECTRUM|3501480|3501480|MENTOR TEXAS L.P.|1|Post Operatively Adjustable Saline Breast Implant, 475cc||||true||true|true|true||true||||Labeling does not contain MRI Safety Information|true||true|
f52062ea-2302-405e-9ae4-ce66cbe082dd|Published|2014-09-17||In Commercial Distribution|MENTOR Smooth Round SPECTRUM|3501470|3501470|MENTOR TEXAS L.P.|1|Post Operatively Adjustable Saline Breast Implant, 425cc||||true||true|true|true||true||||Labeling does not contain MRI Safety Information|true||true|
f9e5472e-5318-491f-9778-ace3e6be864a|Published|2014-09-17||In Commercial Distribution|MENTOR SILTEX CONTOUR PROFILE High|3542712|3542712|MENTOR TEXAS L.P.|1|Saline Breast Implant with Diaphragm Valve, 350cc||||true||true|true|true||true||||Labeling does not contain MRI Safety Information|true||true|
7dc741e3-63df-4005-9f46-95ede092df10|Published|2014-09-17||In Commercial Distribution|MENTOR SILTEX CONTOUR PROFILE Moderate|3542915|3542915|MENTOR TEXAS L.P.|1|Saline Breast Implant with Diaphragm Valve, 525cc||||true||true|true|true||true||||Labeling does not contain MRI Safety Information|true||true|
643fc137-f2e3-45e7-b362-df6e95312be1|Published|2014-09-17||In Commercial Distribution|MENTOR SILTEX Round Moderate Profile|3542650|3542650|MENTOR TEXAS L.P.|1|Saline Breast Implant with Diaphragm Valve, 325cc||||true||true|true|true||true||||Labeling does not contain MRI Safety Information|true||true|
42ee63a5-3299-47f5-8cd4-e7171a263c03|Published|2014-09-17||In Commercial Distribution|MENTOR SILTEX Round Moderate Profile|3542620|3542620|MENTOR TEXAS L.P.|1|Saline Breast Implant with Diaphragm Valve, 175cc||||true||true|true|true||true||||Labeling does not contain MRI Safety Information|true||true|
34e23f04-b519-48b3-b598-4c66b340172e|Published|2014-09-17||In Commercial Distribution|MENTOR Smooth Round High Profile|3503500|3503500|MENTOR TEXAS L.P.|1|Saline Breast Implant with Diaphragm Valve, 500cc||||true||true|true|true||true||||Labeling does not contain MRI Safety Information|true||true|
7d564c9c-5548-42dc-9ff1-124afe0c6d9b|Published|2014-09-17||In Commercial Distribution|MENTOR Smooth Round High Profile|3503330|3503330|MENTOR TEXAS L.P.|1|Saline Breast Implant with Diaphragm Valve, 330cc||||true||true|true|true||true||||Labeling does not contain MRI Safety Information|true||true|
b65f15fb-f06e-4b72-9942-c89a4e3856f9|Published|2014-09-17||In Commercial Distribution|MENTOR Smooth Round High Profile|3503170|3503170|MENTOR TEXAS L.P.|1|Saline Breast Implant with Diaphragm Valve, 170cc||||true||true|true|true||true||||Labeling does not contain MRI Safety Information|true||true|
aa674f86-94d8-4b0f-b868-4526fa0b1d2a|Published|2014-09-17||In Commercial Distribution|MENTOR Smooth Round Moderate Profile|3501695|3501695|MENTOR TEXAS L.P.|1|Saline Breast Implant with Diaphragm Valve, 625cc||||true||true|true|true||true||||Labeling does not contain MRI Safety Information|true||true|
73755d5b-8fdc-4b57-a46b-5e4d0e069864|Published|2014-09-17||In Commercial Distribution|MENTOR Smooth Round Moderate Profile|3501635|3501635|MENTOR TEXAS L.P.|1|Saline Breast Implant with Diaphragm Valve, 250cc||||true||true|true|true||true||||Labeling does not contain MRI Safety Information|true||true|
e235fc42-b517-4847-a94f-4596835e05f6|Published|2014-09-17||In Commercial Distribution|MENTOR Diaphragm Valve Fill Tube LONG 61cm 24in with 45 Degree Connector|600975-004|600975-004|MENTOR TEXAS L.P.|1|DV Fill Tube||||||true|true|||true||||Labeling does not contain MRI Safety Information|true||true|
0a9c6e7b-02af-437e-a59e-c153ea4a5c7f|Published|2014-09-17||In Commercial Distribution|MENTOR Diaphragm Valve Fill Tube|600975-001|600975-001|MENTOR TEXAS L.P.|1|DV Fill Tube||||||true|true|||true||||Labeling does not contain MRI Safety Information|true||true|
7aaa39f3-2abd-4d32-b1d6-62554f58d909|Published|2014-09-17||In Commercial Distribution|MENTOR Injection Domes with Stainless Steel TRUE LOCK Connection Systems|350-DOMPK|350-DOMPK|MENTOR TEXAS L.P.|1|Dome Pack||||true||true|true|||true||||Labeling does not contain MRI Safety Information|true||true|
cc3f6927-af27-4fd9-bd6c-121ee3ff11b4|Published|2014-09-17||In Commercial Distribution|NATRELLE Saline-Filled Breast Implants|468-195|468-195|Allergan, Inc.|1|NATRELLE 468-195 Saline BIOCELL Shp Full||||true||true||true||true|||true|MR Safe|true||true|
6de1d27d-fe37-46df-b239-5d22f051d662|Published|2014-09-17||In Commercial Distribution|NATRELLE Saline-Filled Breast Implants|363LF-690|363LF-690|Allergan, Inc.|1|NATRELLE 363LF-690 Sal BIOCELL Shp Full||||true||true||true||true|||true|MR Safe|true||true|
8763a21f-8ffc-46be-a2d5-577cc07d483b|Published|2014-09-17||In Commercial Distribution|NATRELLE Saline-Filled Breast Implants|363LF-620|363LF-620|Allergan, Inc.|1|NATRELLE 363LF-620 Sal BIOCELL Shp Full||||true||true||true||true|||true|MR Safe|true||true|
2b447715-db1f-440a-95ff-e4ccf38bf730|Published|2014-09-17||In Commercial Distribution|NATRELLE Saline-Filled Breast Implants|363LF-370|363LF-370|Allergan, Inc.|1|NATRELLE 363LF-370 Sal BIOCELL Shp Full||||true||true||true||true|||true|MR Safe|true||true|
02d28c4c-a9ee-4521-87a2-5ef39af66e78|Published|2014-09-17||In Commercial Distribution|NATRELLE Saline-Filled Breast Implants|363LF-200|363LF-200|Allergan, Inc.|1|NATRELLE 363LF-200 Sal BIOCELL Shp Full||||true||true||true||true|||true|MR Safe|true||true|
9631eb8a-730c-4226-a94f-dd42c17eb300|Published|2014-09-17||In Commercial Distribution|NATRELLE Saline-Filled Breast Implants|363LF-170|363LF-170|Allergan, Inc.|1|NATRELLE 363LF-170 Sal BIOCELL Shp Full||||true||true||true||true|||true|MR Safe|true||true|
c518b016-69c9-4c4b-9314-1dfa75ec413b|Published|2014-09-17||In Commercial Distribution|NATRELLE Saline-Filled Breast Implants|168-800|168-800|Allergan, Inc.|1|NATRELLE 168-800 Saline BIOCELL Rnd Mod||||true||true||true||true|||true|MR Safe|true||true|
2a8bdf63-5844-4f45-8609-521cbd3dbaaf|Published|2014-09-17||In Commercial Distribution|NATRELLE Saline-Filled Breast Implants|168-480|168-480|Allergan, Inc.|1|NATRELLE 168-480 Saline BIOCELL Rnd Mod||||true||true||true||true|||true|MR Safe|true||true|
d8a8e327-f2f7-4a77-9206-ff33ae7c55f7|Published|2014-09-17||In Commercial Distribution|NATRELLE Saline-Filled Breast Implants|168-450|168-450|Allergan, Inc.|1|NATRELLE 168-450 Saline BIOCELL Rnd Mod||||true||true||true||true|||true|MR Safe|true||true|
2c067450-bd78-4bc6-bef7-2d03f5069598|Published|2014-09-17||In Commercial Distribution|NATRELLE Saline-Filled Breast Implants|168-360|168-360|Allergan, Inc.|1|NATRELLE 168-360 Saline BIOCELL Rnd Mod||||true||true||true||true|||true|MR Safe|true||true|
6767c973-8e3b-45ff-967a-d1dbeafe3c33|Published|2014-09-17||In Commercial Distribution|NATRELLE Saline-Filled Breast Implants|168-330|168-330|Allergan, Inc.|1|NATRELLE 168-330 Saline BIOCELL Rnd Mod||||true||true||true||true|||true|MR Safe|true||true|
2a1d0472-cb2a-4f22-af7e-6bd399655976|Published|2014-09-17||In Commercial Distribution|NATRELLE Saline-Filled Breast Implants|168-270|168-270|Allergan, Inc.|1|NATRELLE 168-270 Saline BIOCELL Rnd Mod||||true||true||true||true|||true|MR Safe|true||true|
6a8a0227-c7fe-4cee-84f6-dfaf413cbdbf|Published|2014-09-17||In Commercial Distribution|NATRELLE Saline-Filled Breast Implants|163-780|163-780|Allergan, Inc.|1|STYLE 163, 780CC IMPLANT||||true||true||true||true|||true|MR Safe|true||true|
cb0f1541-574b-4f49-a0d5-1f227aeb2ce1|Published|2014-09-17||In Commercial Distribution|NATRELLE Saline-Filled Breast Implants|68LP-640|68LP-640|Allergan, Inc.|1|NATRELLE Style 68LP-640 Saline Round Low||||true||true||true||true|||true|MR Safe|true||true|
ffb9cc5c-9a7b-4bd1-918c-a2dabec0d4d3|Published|2014-09-17||In Commercial Distribution|NATRELLE Saline-Filled Breast Implants|68LP-200|68LP-200|Allergan, Inc.|1|NATRELLE Style 68LP-200 Saline Round Low||||true||true||true||true|||true|MR Safe|true||true|
9e112ef1-3f1c-4c9a-a75f-293b58b32e8e|Published|2014-09-17||In Commercial Distribution|NATRELLE Saline-Filled Breast Implants|68LP-125|68LP-125|Allergan, Inc.|1|NATRELLE Style 68LP-125 Saline Round Low||||true||true||true||true|||true|MR Safe|true||true|
bf940c90-24f4-49b7-8155-1a151d09cd3d|Published|2014-09-17||In Commercial Distribution|NATRELLE Saline-Filled Breast Implants|68HP-800|68HP-800|Allergan, Inc.|1|NATRELLE Sty 68HP-800 Saline Round High||||true||true||true||true|||true|MR Safe|true||true|
a5e73f37-5562-40ef-9498-740ee3746aac|Published|2014-09-17||In Commercial Distribution|NATRELLE Saline-Filled Breast Implants|68HP-650|68HP-650|Allergan, Inc.|1|NATRELLE Sty 68HP-650 Saline Round High||||true||true||true||true|||true|MR Safe|true||true|
a315fe9a-0539-495a-ad00-6e068534f90a|Published|2014-09-17||In Commercial Distribution|NATRELLE Saline-Filled Breast Implants|68HP-320|68HP-320|Allergan, Inc.|1|NATRELLE Sty 68HP-320 Saline Round High||||true||true||true||true|||true|MR Safe|true||true|
9e521552-307f-465a-aed2-cec7368a97d9|Published|2014-09-17||In Commercial Distribution|NATRELLE Saline-Filled Breast Implants|68HP-280|68HP-280|Allergan, Inc.|1|NATRELLE Sty 68HP-280 Saline Round High||||true||true||true||true|||true|MR Safe|true||true|
1cf95e63-0634-490f-974b-88e6ce83bcbf|Published|2014-09-17||In Commercial Distribution|NATRELLE Saline-Filled Breast Implants|68HP-240|68HP-240|Allergan, Inc.|1|NATRELLE Sty 68HP-240 Saline Round High||||true||true||true||true|||true|MR Safe|true||true|
832d13f2-a9f4-4eaf-ab72-775b52e53d99|Published|2014-09-17||In Commercial Distribution|NATRELLE Saline-Filled Breast Implants|68-800|68-800|Allergan, Inc.|1|NATRELLE Style 68MP-800 Saline Round Mod||||true||true||true||true|||true|MR Safe|true||true|
b373f08f-c7b1-4418-a539-be50a01626a6|Published|2014-09-17||In Commercial Distribution|NATRELLE Saline-Filled Breast Implants|68-650|68-650|Allergan, Inc.|1|NATRELLE Style 68MP-650 Saline Round Mod||||true||true||true||true|||true|MR Safe|true||true|
3fd73c67-cdcb-4887-8a3c-174ad369da07|Published|2014-09-17||In Commercial Distribution|NATRELLE Saline-Filled Breast Implants|68-550|68-550|Allergan, Inc.|1|NATRELLE Style 68MP-550 Saline Round Mod||||true||true||true||true|||true|MR Safe|true||true|
5477ea14-e529-4889-b6a2-a85c1526da17|Published|2014-09-17||In Commercial Distribution|NATRELLE Saline-Filled Breast Implants|68-480|68-480|Allergan, Inc.|1|NATRELLE Style 68MP-480 Saline Round Mod||||true||true||true||true|||true|MR Safe|true||true|
6583e5f0-52d2-4445-a89e-57f6573e0960|Published|2014-09-17||In Commercial Distribution|NATRELLE Saline-Filled Breast Implants|68-420|68-420|Allergan, Inc.|1|NATRELLE Style 68MP-420 Saline Round Mod||||true||true||true||true|||true|MR Safe|true||true|
083dd175-580e-464c-bf67-91dc0350d6fe|Published|2014-09-17||In Commercial Distribution|NATRELLE Saline-Filled Breast Implants|68-240|68-240|Allergan, Inc.|1|NATRELLE Style 68MP-240 Saline Round Mod||||true||true||true||true|||true|MR Safe|true||true|
ac011a68-fa10-41d0-8226-5ca861614b34|Published|2015-09-09||In Commercial Distribution|IDEAL IMPLANT|67501|675|IDEAL IMPLANT INCORPORATED|1|Round, smooth-surface, saline-filled breast implant.||||||true||true||true||||Labeling does not contain MRI Safety Information|true||true|
bbcba13c-ec3c-40d3-aae0-9ab27bd755ca|Published|2015-09-09||In Commercial Distribution|IDEAL IMPLANT|27001|270|IDEAL IMPLANT INCORPORATED|1|Round, smooth-surface, saline-filled breast implant.||||||true||true||true||||Labeling does not contain MRI Safety Information|true||true|
8b270860-b7df-4430-9426-c1584340df17|Published|2014-09-17||In Commercial Distribution|MENTOR SILTEX CONTOUR PROFILE SPECTRUM|3542514|3542514|MENTOR TEXAS L.P.|1|Post Operatively Adjustable Saline Breast Implant, 550cc||||true||true|true|true||true||||Labeling does not contain MRI Safety Information|true||true|
59af6a3c-bd81-4d7d-bb2b-e30ea2c9eae7|Published|2014-09-17||In Commercial Distribution|MENTOR SILTEX CONTOUR PROFILE SPECTRUM|3542513|3542513|MENTOR TEXAS L.P.|1|Post Operatively Adjustable Saline Breast Implant, 450cc||||true||true|true|true||true||||Labeling does not contain MRI Safety Information|true||true|
2c624aa0-a288-49b0-9af2-a86e59decf79|Published|2014-09-17||In Commercial Distribution|MENTOR SILTEX CONTOUR PROFILE High|3542714|3542714|MENTOR TEXAS L.P.|1|Saline Breast Implant with Diaphragm Valve, 550cc||||true||true|true|true||true||||Labeling does not contain MRI Safety Information|true||true|
75dccb24-8ed3-400a-a974-16b9f146679b|Published|2014-09-17||In Commercial Distribution|MENTOR SILTEX CONTOUR PROFILE Moderate|3542914|3542914|MENTOR TEXAS L.P.|1|Saline Breast Implant with Diaphragm Valve, 425cc||||true||true|true|true||true||||Labeling does not contain MRI Safety Information|true||true|
18b678bd-b0f5-4167-af2e-33cc305eb7e8|Published|2014-09-17||In Commercial Distribution|MENTOR SILTEX Round Moderate Profile|3542660|3542660|MENTOR TEXAS L.P.|1|Saline Breast Implant with Diaphragm Valve, 375cc||||true||true|true|true||true||||Labeling does not contain MRI Safety Information|true||true|
dbbce5dd-b854-49c4-9823-8901a214efbb|Published|2014-09-17||In Commercial Distribution|MENTOR SILTEX Round Moderate Profile|3542640|3542640|MENTOR TEXAS L.P.|1|Saline Breast Implant with Diaphragm Valve, 275cc||||true||true|true|true||true||||Labeling does not contain MRI Safety Information|true||true|
34290c7a-9cdf-461c-9893-ee846abce634|Published|2014-09-17||In Commercial Distribution|MENTOR Smooth Round High Profile|3503380|3503380|MENTOR TEXAS L.P.|1|Saline Breast Implant with Diaphragm Valve, 380cc||||true||true|true|true||true||||Labeling does not contain MRI Safety Information|true||true|
b0074176-24e7-408b-9dbd-874a150bf596|Published|2014-09-17||In Commercial Distribution|MENTOR Smooth Round High Profile|3503270|3503270|MENTOR TEXAS L.P.|1|Saline Breast Implant with Diaphragm Valve, 270cc||||true||true|true|true||true||||Labeling does not contain MRI Safety Information|true||true|
68af2278-e357-4cf3-8f8a-2ff2057e6dac|Published|2014-09-17||In Commercial Distribution|MENTOR Smooth Round High Profile|3503210|3503210|MENTOR TEXAS L.P.|1|Saline Breast Implant with Diaphragm Valve, 210cc||||true||true|true|true||true||||Labeling does not contain MRI Safety Information|true||true|
b1ae17c5-6cff-4c4c-896c-d593f8e54a03|Published|2014-09-17||In Commercial Distribution|MENTOR Smooth Round High Profile|3503190|3503190|MENTOR TEXAS L.P.|1|Saline Breast Implant with Diaphragm Valve, 190cc||||true||true|true|true||true||||Labeling does not contain MRI Safety Information|true||true|
b814481a-dc0f-4492-a905-31a3c54c6045|Published|2014-09-17||In Commercial Distribution|MENTOR Smooth Round Moderate Plus Profile|3502750|3502750|MENTOR TEXAS L.P.|1|Saline Breast Implant with Diaphragm Valve, 750cc||||true||true|true|true||true||||Labeling does not contain MRI Safety Information|true||true|
829d4a8e-eeb2-440a-ac47-197db6aaf200|Published|2014-09-17||In Commercial Distribution|MENTOR Smooth Round Moderate Plus Profile|3502650|3502650|MENTOR TEXAS L.P.|1|Saline Breast Implant with Diaphragm Valve, 650cc||||true||true|true|true||true||||Labeling does not contain MRI Safety Information|true||true|
81844640-5465-40f6-9777-bf086cb17d80|Published|2014-09-17||In Commercial Distribution|MENTOR Smooth Round Moderate Plus Profile|3502600|3502600|MENTOR TEXAS L.P.|1|Saline Breast Implant with Diaphragm Valve, 600cc||||true||true|true|true||true||||Labeling does not contain MRI Safety Information|true||true|
